federal_subjects_russiaLabel,borderLabel
Omsk Oblast,Tyumen Oblast
Omsk Oblast,Novosibirsk Oblast
Omsk Oblast,Tomsk Oblast
Omsk Oblast,North Kazakhstan Province
Omsk Oblast,Pavlodar Province
Novosibirsk Oblast,Omsk Oblast
Novosibirsk Oblast,Tomsk Oblast
Novosibirsk Oblast,Altai Krai
Novosibirsk Oblast,Kemerovo Oblast
Novosibirsk Oblast,Pavlodar Province
Tomsk Oblast,Tyumen Oblast
Tomsk Oblast,Omsk Oblast
Tomsk Oblast,Novosibirsk Oblast
Tomsk Oblast,Kemerovo Oblast
Tomsk Oblast,Khanty-Mansi Autonomous Okrug
Tomsk Oblast,Krasnoyarsk Krai
Kemerovo Oblast,Novosibirsk Oblast
Kemerovo Oblast,Tomsk Oblast
Kemerovo Oblast,Altai Krai
Kemerovo Oblast,Altai Republic
Kemerovo Oblast,Republic of Khakassia
Kemerovo Oblast,Krasnoyarsk Krai
Irkutsk Oblast,Tuva Republic
Irkutsk Oblast,Krasnoyarsk Krai
Irkutsk Oblast,Sakha Republic
Irkutsk Oblast,Buryat Republic
Irkutsk Oblast,Zabaykalsky Krai
Irkutsk Oblast,Chita Oblast
Amur Oblast,Sakha Republic
Amur Oblast,Zabaykalsky Krai
Amur Oblast,Jewish Autonomous Oblast
Amur Oblast,Khabarovsk Krai
Amur Oblast,Heilongjiang
Amur Oblast,Chita Oblast
Sakhalin Oblast,Khabarovsk Krai
Sakhalin Oblast,Kamchatka Krai
Sakhalin Oblast,Hokkaidō Prefecture
Magadan Oblast,Sakha Republic
Magadan Oblast,Khabarovsk Krai
Magadan Oblast,Kamchatka Krai
Magadan Oblast,Chukotka Autonomous Okrug
