oblast,border
http://www.wikidata.org/entity/Q3510,http://www.wikidata.org/entity/Q3178
http://www.wikidata.org/entity/Q3510,http://www.wikidata.org/entity/Q3447
http://www.wikidata.org/entity/Q3510,http://www.wikidata.org/entity/Q3550
http://www.wikidata.org/entity/Q3550,http://www.wikidata.org/entity/Q2753
http://www.wikidata.org/entity/Q3550,http://www.wikidata.org/entity/Q3447
http://www.wikidata.org/entity/Q3550,http://www.wikidata.org/entity/Q3510
http://www.wikidata.org/entity/Q3550,http://www.wikidata.org/entity/Q5334
http://www.wikidata.org/entity/Q3550,http://www.wikidata.org/entity/Q5545
http://www.wikidata.org/entity/Q3573,http://www.wikidata.org/entity/Q3447
http://www.wikidata.org/entity/Q3573,http://www.wikidata.org/entity/Q3680
http://www.wikidata.org/entity/Q3573,http://www.wikidata.org/entity/Q3819
http://www.wikidata.org/entity/Q3573,http://www.wikidata.org/entity/Q3953
http://www.wikidata.org/entity/Q3573,http://www.wikidata.org/entity/Q5207
http://www.wikidata.org/entity/Q3573,http://www.wikidata.org/entity/Q171965
http://www.wikidata.org/entity/Q3573,http://www.wikidata.org/entity/Q2012050
http://www.wikidata.org/entity/Q3819,http://www.wikidata.org/entity/Q3447
http://www.wikidata.org/entity/Q3819,http://www.wikidata.org/entity/Q3573
http://www.wikidata.org/entity/Q3819,http://www.wikidata.org/entity/Q3941
http://www.wikidata.org/entity/Q3819,http://www.wikidata.org/entity/Q3953
http://www.wikidata.org/entity/Q3819,http://www.wikidata.org/entity/Q5334
http://www.wikidata.org/entity/Q3819,http://www.wikidata.org/entity/Q486007
http://www.wikidata.org/entity/Q3941,http://www.wikidata.org/entity/Q3819
http://www.wikidata.org/entity/Q3941,http://www.wikidata.org/entity/Q3953
http://www.wikidata.org/entity/Q3941,http://www.wikidata.org/entity/Q427658
http://www.wikidata.org/entity/Q3941,http://www.wikidata.org/entity/Q486007
http://www.wikidata.org/entity/Q5334,http://www.wikidata.org/entity/Q1727
http://www.wikidata.org/entity/Q5334,http://www.wikidata.org/entity/Q3447
http://www.wikidata.org/entity/Q5334,http://www.wikidata.org/entity/Q3550
http://www.wikidata.org/entity/Q5334,http://www.wikidata.org/entity/Q3819
http://www.wikidata.org/entity/Q5334,http://www.wikidata.org/entity/Q5338
http://www.wikidata.org/entity/Q5334,http://www.wikidata.org/entity/Q5545
http://www.wikidata.org/entity/Q5334,http://www.wikidata.org/entity/Q5634
http://www.wikidata.org/entity/Q5334,http://www.wikidata.org/entity/Q486007
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q1727
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q5334
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q5481
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q5710
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q5714
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q42072
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q485437
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q485605
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q486007
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q611787
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q809806
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q1001882
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q1702957
http://www.wikidata.org/entity/Q5338,http://www.wikidata.org/entity/Q1703288
http://www.wikidata.org/entity/Q5387,http://www.wikidata.org/entity/Q1875
http://www.wikidata.org/entity/Q5387,http://www.wikidata.org/entity/Q2015
http://www.wikidata.org/entity/Q5387,http://www.wikidata.org/entity/Q2073
http://www.wikidata.org/entity/Q5387,http://www.wikidata.org/entity/Q2246
http://www.wikidata.org/entity/Q5387,http://www.wikidata.org/entity/Q2596
http://www.wikidata.org/entity/Q5387,http://www.wikidata.org/entity/Q5400
http://www.wikidata.org/entity/Q5387,http://www.wikidata.org/entity/Q5422
http://www.wikidata.org/entity/Q5387,http://www.wikidata.org/entity/Q5446
http://www.wikidata.org/entity/Q5387,http://www.wikidata.org/entity/Q5481
http://www.wikidata.org/entity/Q5462,http://www.wikidata.org/entity/Q2073
http://www.wikidata.org/entity/Q5462,http://www.wikidata.org/entity/Q5400
http://www.wikidata.org/entity/Q5462,http://www.wikidata.org/entity/Q5710
http://www.wikidata.org/entity/Q5462,http://www.wikidata.org/entity/Q5714
http://www.wikidata.org/entity/Q5462,http://www.wikidata.org/entity/Q5741
http://www.wikidata.org/entity/Q5462,http://www.wikidata.org/entity/Q5824
http://www.wikidata.org/entity/Q5462,http://www.wikidata.org/entity/Q6320
http://www.wikidata.org/entity/Q5462,http://www.wikidata.org/entity/Q134483
http://www.wikidata.org/entity/Q5462,http://www.wikidata.org/entity/Q258760
http://www.wikidata.org/entity/Q5462,http://www.wikidata.org/entity/Q390284
http://www.wikidata.org/entity/Q5462,http://www.wikidata.org/entity/Q730998
http://www.wikidata.org/entity/Q5545,http://www.wikidata.org/entity/Q2753
http://www.wikidata.org/entity/Q5545,http://www.wikidata.org/entity/Q3550
http://www.wikidata.org/entity/Q5545,http://www.wikidata.org/entity/Q5334
http://www.wikidata.org/entity/Q5545,http://www.wikidata.org/entity/Q5340
http://www.wikidata.org/entity/Q5545,http://www.wikidata.org/entity/Q5634
http://www.wikidata.org/entity/Q5634,http://www.wikidata.org/entity/Q1727
http://www.wikidata.org/entity/Q5634,http://www.wikidata.org/entity/Q5334
http://www.wikidata.org/entity/Q5634,http://www.wikidata.org/entity/Q5340
http://www.wikidata.org/entity/Q5634,http://www.wikidata.org/entity/Q5466
http://www.wikidata.org/entity/Q5634,http://www.wikidata.org/entity/Q5481
http://www.wikidata.org/entity/Q5634,http://www.wikidata.org/entity/Q5545
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q5338
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q5462
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q5710
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q5741
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q42072
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q258760
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q288115
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q481602
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q485605
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q636221
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q777030
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q788737
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q792513
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q1094419
